LANG,RECORD #,245abnp,260a,264a,260b,264b,260c,264c,008 Country,SUBJECT,AUTHOR,ADDITIONAL AUTHOR,LIBRARY HAS
spa,b128268086,El Sombra y Tito /,,"México, D.F. :",,"Resistencia,",,2016,mx,"Private investigators Comic books, strips, etc.;""Argentine comic books, strips, etc."";""Comic books, strips, etc. fast (OCoLC)fst00869145"";""Graphic novels. fast (OCoLC)fst00946656"";""Mexico. fast (OCoLC)fst01211700"";""Graphic novels. lcgft"";""Comics (Graphic works) lcgft""","Molina, Edu, 1969- author, artist.","Larragoiti, Josefina, contributor.;""García Larragoiti, Octavio, contributor."";""Salmerón, Montserrat, contributor.""",
spa,b128268098,El sombra /,,México :,,"Resistencia,",,2014,mx,"Graphic novels Mexico.;""Mexican comic books, strips, etc."";""Comic books, strips, etc. fast (OCoLC)fst00869145"";""Graphic novels. fast (OCoLC)fst00946656"";""Mexico. fast (OCoLC)fst01211700""","Molina, Edu, 1969-",,
spa,b128268165,Cuervo eléctrico /,,[Mexico] :;,,"Nostromo Ediciones,;",,"2017.;""©2017""",mx,"Fantasy comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh97000542;""Fantasy comic books, strips, etc. fast (OCoLC)fst00920701"";""Graphic novels. lcgft"";""Graphic novels. fast (OCoLC)fst01726630"";""Fantasy comics. lcgft http://id.loc.gov/authorities/genreForms/gf2014026331""","Santarriaga, H. G. (Héctor Germán), author, artist.",,
eng,b128272004,Kill la kill /,,"Richmond Hill, Ontario, Canada :",,"UDON Entertainment Corp.,",,2015-2016.,onc,"High school girls Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2009006795;""Fantasy comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh97000542"";""Japanese comic books, strips, etc. Translations into English."";""Fantasy comics. lcgft http://id.loc.gov/authorities/genreForms/gf2014026331""","Nakashima, Kazuki, 1959- author. http://id.loc.gov/authorities/names/no2009091073","Akizuki, Ryo, 1978- artist. http://id.loc.gov/authorities/names/no2015148872",copy 1 v. 1-3
eng,b128305678,7 generations a Plains Cree saga /,"Winnipeg, [Ontario] :",,"HighWater Press,",,2012,,onc,"Cree Indians Fiction.;""Cree Indians Comic books, strips, etc."";""Cree Indians."";""Electronic books.""","Robertson, David Alexander.","Henderson, Scott B.",
spa,b128478317,100 años de caricatura en El universal /,,Ciudad de México :,,"El Universal, Compañía Periodística Nacional, S.A. de C.V. : Secretaría de Cultura, Dirección General de Publicaciones,",,2016,mx,"Universal (Mexico City, Mexico : 1916);""Caricatures and cartoons Mexico History."";""Comic books, strips, etc. Mexico History."";""Mexican wit and humor, Pictorial History."";""Caricatures and cartoons. fast (OCoLC)fst00847532"";""Comic books, strips, etc. fast (OCoLC)fst00869145"";""Mexican wit and humor, Pictorial. fast (OCoLC)fst01019240"";""Mexico. fast (OCoLC)fst01211700"";""History. fast (OCoLC)fst01411628""","Sánchez González, Agustín, 1956- author.",,
eng,b128490329,The strange /,,"[Montreal, Canada] :",,"Drawn & Quarterly,",,2018,quc,"Immigrants Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85064517;""Emigration and immigration Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85042782"";""Xenophobia Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85148799"";""Franco-Belgian comic books, strips, etc. Translations into English.""","Ruillier, Jérôme, author, illustrator. http://id.loc.gov/authorities/names/no2001009257","Dascher, Helge, 1965- translator. http://id.loc.gov/authorities/names/no2007051738",
eng,b128586357,S.F. #3 /,,"[Toronto, Ontario] :;",,"Koyama Press,;",,"[2013];""©2013""",onc,"Science fiction comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85118659","Smith, Ryan Cecil, author, illustrator.",,
eng,b128588846,The bun field /,,Montréal :;,,"Drawn & Quarterly,;",,"[2009];""©2009""",quc,"Alternative comic books, strips, etc.;""Finnish comic books, strips, etc. Translations into English.""","Vähämäki, Amanda, 1981-",,
eng,b128736057,In situ /,,Montreal QC :,,"Colosse / Export,",,-2011,quc,"Autobiographical comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2011002678;""Canadian comic books, strips, etc.""","Yanow, Sophie, 1987- author.",,
